Daynum,Year,Deaths,Cumdeaths,Excess,Cumexcess
83,2020,436,27218,101.89999999999998,-778.625934318951
84,2020,394,27612,86.80000000000001,-691.8259343189509
85,2020,448,28060,132.7,-559.1259343189508
86,2020,438,28498,128.8,-430.32593431895083
87,2020,508,29006,205.0,-225.32593431895083
88,2020,503,29509,194.2,-31.12593431895084
89,2020,448,29957,132.89999999999998,101.77406568104914
90,2020,516,30473,202.0,303.77406568104914
91,2020,568,31041,254.89999999999998,558.6740656810491
92,2020,604,31645,300.1,858.7740656810491
93,2020,599,32244,288.6,1147.3740656810492
94,2020,546,32790,243.2,1390.5740656810492
95,2020,600,33390,295.1,1685.6740656810493
96,2020,585,33975,288.3,1973.9740656810493
97,2020,552,34527,253.3,2227.2740656810493
98,2020,637,35164,322.7,2549.974065681049
99,2020,637,35801,336.1,2886.074065681049
100,2020,613,36414,321.2,3207.274065681049
101,2020,673,37087,373.6,3580.8740656810487
102,2020,599,37686,297.7,3878.5740656810485
103,2020,562,38248,266.1,4144.674065681049
104,2020,571,38819,274.5,4419.174065681049
105,2020,537,39356,241.10000000000002,4660.274065681049
106,2020,572,39928,279.4,4939.674065681049
107,2020,555,40483,265.5,5205.174065681049
108,2020,507,40990,213.5,5418.674065681049
109,2020,488,41478,191.0,5609.674065681049
110,2020,464,41942,168.8,5778.474065681049
111,2020,462,42404,167.60000000000002,5946.074065681049
112,2020,483,42887,199.5,6145.574065681049
113,2020,460,43347,169.8,6315.37406568105
114,2020,427,43774,139.39999999999998,6454.774065681049
115,2020,401,44175,99.60000000000002,6554.37406568105
116,2020,390,44565,98.10000000000002,6652.47406568105
117,2020,395,44960,107.80000000000001,6760.27406568105
118,2020,365,45325,74.5,6834.77406568105
119,2020,407,45732,131.10000000000002,6965.8740656810505
120,2020,340,46072,54.69999999999999,7020.57406568105
121,2020,347,46419,62.30000000000001,7082.8740656810505
122,2020,314,46733,39.39999999999998,7122.27406568105
123,2020,299,47032,24.80000000000001,7147.07406568105
124,2020,331,47363,35.80000000000001,7182.8740656810505
125,2020,336,47699,50.0,7232.8740656810505
126,2020,354,48053,79.19999999999999,7312.07406568105
127,2020,311,48364,21.19999999999999,7333.27406568105
128,2020,329,48693,42.19999999999999,7375.47406568105
129,2020,350,49043,58.5,7433.97406568105
130,2020,362,49405,67.60000000000002,7501.57406568105
131,2020,328,49733,37.89999999999998,7539.47406568105
132,2020,313,50046,29.100000000000023,7568.57406568105
133,2020,303,50349,21.19999999999999,7589.77406568105
134,2020,279,50628,-3.3000000000000114,7586.47406568105
135,2020,291,50919,14.899999999999977,7601.37406568105
136,2020,298,51217,22.30000000000001,7623.67406568105
137,2020,267,51484,-11.100000000000023,7612.574065681049
138,2020,271,51755,-12.600000000000023,7599.974065681049
139,2020,300,52055,15.899999999999977,7615.874065681049
140,2020,270,52325,1.6000000000000227,7617.474065681049
141,2020,318,52643,34.89999999999998,7652.374065681049
142,2020,290,52933,8.699999999999989,7661.0740656810485
143,2020,312,53245,27.399999999999977,7688.474065681048
144,2020,275,53520,-14.199999999999989,7674.274065681048
145,2020,256,53776,-24.69999999999999,7649.5740656810485
